ID  Maxim Whom
30  "Keep before your eyes day by day death and exile, and everything that seems catastrophic, but most of all death; and then you will never have any abject thought, nor will you crave anything excessively."	Epictetus
31  "Kindness is an irresistible force, so long as it is genuine. "	Marcus Aurelius
32  "Life is long enough, and it has been given in sufficiently generous measure to allow the accomplishment of the very greatest things if the whole of it is well invested."	Seneca
33  "Life is neither good or bad, it is the space for both good and bad."	Seneca
34  "Make a decision to quit thinking of things as insulting, and you anger immediately disappears."	Marcus Aurelius
35  Men have come into being for one another; so either educate them or put up with them.	Marcus Aurelius
36  My business is to use what does turn up with diligence and skill. 	Epictetus
37  "No good thing is pleasant to possess, without friends to share it. "	Seneca
38  "No matter what anyone says or does, my task is to be the emerald, my colour undiminished."	Marcus Aurelius
39  "No one can stop you from undertaking action with justice, self- discipline, and practical wisdom."	Marcus Aurelius
40  No tree becomes rooted and sturdy unless many a wind assails it.	Seneca
41  Nothing brings happiness unless it also brings calm. 	Seneca
42  Nothing is as effective in creating greatness of mind as being able to examine methodically and truthfully everything that presents itself in life.	Marcus Aurelius
43  Perform every action as though it were your last.	Marcus Aurelius
44  "Possibly the philosophers say what is contrary to opinion, but assuredly not what is contrary to reason."	Epictetus
45  Rational beings exists for the sake of one another. Thus the leading principle in the constitution of man is concern for the good of others.	Marcus Aurelius
46  "Say to yourself at daybreak: I shall come across the meddling busy- body, the ungrateful, the overbearing, the treacherous, the envious, and the antisocial. All this has befallen them because they cannot tell good from evil."	Marcus Aurelius
47  Seek not for events to happen as you wish but wish events to happen as they do and your life will go smoothly and serenely.	Epictetus
48  The happiness of your life depends upon the quality of your thoughts.	Marcus Aurelius
49  "The marks of a proficient are, that he censures no one, praises no one, blames no one, accuses no one, says nothing concerning himself as being anybody, or knowing anything."	Epictetus
50  "The marks of the proficient person are that he censures no one, praises no one, blames no one, accuses no one, says nothing concerning himself as being anybody, or knowing anything."	Epictectus
51  "The nature of the Universe loves nothing so much as to change the things which are, and to make new things like them."	Marcus Aurelius
52  The philosopher's school is a doctor's clinic.	Epictetus
53  The thing that matters the most is not what you bear but how you bear it.	Seneca
54  "The willing are led by fate, the reluctant dragged. "	Cleanthes
55  "The wise man looks to the purpose of all actions, not their consequences; beginnings are in our power but Fortune judges the outcome, and I do not grant her a verdict upon me."	Seneca
56  There is a need for someone as a standard against which our characters can measure themselves. Without a ruler to do it against you will not make the crooked straight.	Seneca
57  There is usually a lot to learn before any sure-footed moral judgments can be made about other people's actions.	Marcus Aurelius
58  "To let one’s mind go lax is, in effect, to lose it."	Musonius Rufus
59  Waste no more time arguing what a good man should be - be one. 	Marcus Aurelius
60  "We were born for cooperation, like feet, like hands, like eyelids, like the rows of upper and lower teeth. So to work in opposition to one another is against nature."	Marcus Aurelius
61  What bad habit have you put right today? Which fault did you take a stand against? In what respect are you better?	Seneca
62  What thing is done better by those who are inattentive?	Epictetus
63  What would have Socrates or Zeno done in this situation? 	Epictetus
64  "What, then, is to be done? To make the best of what is in our power, and take the rest as it naturally happens."	Epictectus
65  Whatever has been long anticipated comes as a lighter blow.	Seneca
66  "When you rise in the morning, think of what a precious privilege it is to be alive; to breathe, think, to enjoy, to love."	Marcus Aurelius
67  "Whenever, as the sun rises, you feel unwilling to get up, have this thought ready to hand: I rise to do the work of a human being."	Marcus Aurelius
68  Where did I go wrong? What did I do? And what duty is left undone?	Epictetus
69  Will your fate. 	Epictetus
70  "Yes, indeed, I shall use the old road, but if I find a shorter and easier one I shall open it up. The men who pioneered the old routes are leaders, not our masters. Truth lies open to every one. There has yet to be a monopoly of truth. And there is plenty of it left for future generations too."	Seneca
71  You see how few are the things that a person needs to master if he is to live a tranquil and divine life.	Marcus Aurelius
72  I endured incredible trials because I could not endure myself.	Seneca
73  "Let us take in with our mind the worst thing that can possibly happen, if we don’t want to be mastered by it."	Seneca
74  "If someone is able to convince me and show me that what I do or think is not right, I will gladly change; for I seek the truth, by which no one was ever injured. But those who abide in their error and ignorance are injured."	Marcus Aurelius
75  "No one can live happily who has regard to himself alone and transforms everything into a question of his own utility; you must live for your neighbour, if you would live for yourself."	Seneca
76  No one is a laughing-stock who laughs first at himself.	Seneca
77  "Just as it is not the last drop that stops the water-clock but every drop that has previously fallen, so the last hour when we cease to exist is not the only one to cause death but the only one to complete it: we reach death then but we have been coming to it for a long time."	Seneca
78  "You are mistaken if you think that luxury, neglect of good manners, and other vices of which each man accuses the age in which he lives, are especially characteristic of our own epoch; no, they are the vices of mankind and not of the times."	Seneca
79  What decides whether a sum of money is good? The money is not going to tell you; it must be the faculty that makes use of such impressions – reason.	Epictectus
80  "Being attached to many things, we are weighed down and dragged along with them."	Epictectus
81  "What should we do then? Make the best use of what is in our power, and treat the rest in accordance with its nature."	Epictectus
82  "What should we have ready at hand in a situation like this? The knowledge of what is mine and what is not mine, what I can and cannot do."	Epictectus
83  ‘I will throw you into prison.’ ‘Correction – it is my body you will throw there.’	Epictectus
84  "I have to die. If it is now, well then I die now; if later, then now I will take my lunch, since the hour for lunch has arrived – and dying I will tend to later."	Epictectus
85  Education has no goal more important than bringing our preconception of what is reasonable and unreasonable in alignment with nature.	Epictectus
86  "Consider at what price you sell your integrity; but please, for God’s sake, don’t sell it cheap."	Epictectus
87  "What is the goal of virtue, after all, except a life that flows smoothly?"	Epictectus
88  "If from the moment they get up in the morning they adhere to their ideals, eating and bathing like a person of integrity, putting their principles into practice in every situation they face – the way a runner does when he applies the principles of running, or a singer those of musicianship – that is where you will see true progress embodied, and find someone who has not wasted their time making the journey here from home."	Epictectus
89  "What else are tragedies but the ordeals of people who have come to value externals, tricked out in tragic verse?"	Epictetus
90  "If a man objects to truths that are all too evident, it is no easy task finding arguments that will change his mind. This is proof neither of his own strength nor of his teacher’s weakness. When someone caught in an argument hardens to stone, there is just no more reasoning with them."	Epictectus
91  "Most of us dread the deadening of the body and will do anything to avoid it. About the deadening of the soul, however, we don’t care one iota."	Epictectus
92  "We pity the mentally retarded, and students with learning difficulties. But if somebody’s sense of shame and respect are dead, we will actually call this determination."	Epictectus
93  "And so it is inexcusable for man to begin and end where the beasts do. He should begin where they do, but only end where nature left off dealing with him; which is to say, in contemplation and understanding."	Epictectus
94  "“But my nose is running!” What do you have hands for, idiot, if not to wipe it? “But how is it right that there be running noses in the first place?” Instead of thinking up protests, wouldn’t it be easier just to wipe your nose?"	Epictectus
95  "For what does reason purport to do? “Establish what is true, eliminate what is false and suspend judgement in doubtful cases.” … What else does reason prescribe? “To accept the consequence of what has been admitted to be correct.”"	Epictectus
96  "Why are we still lazy, indifferent and dull? Why do we look for excuses to avoid training and exercising our powers of reason? “Look, if I err in such matters I haven’t killed my father, have I?” No, fool – for there was no father there for you to kill! What did you do instead? You made the only mistake you had the opportunity to make."	Epictectus
97  "I mean, are these the only crimes, killing your father and burning down the Capitol? But to use one’s impressions recklessly, carelessly and at random, to fail to analyse an argument as either valid proof or fallacy, and, in a word, to fail to see in the act of question and answer what agrees with your position and what conflicts – is nothing wrong in all of that?"	Epictectus
98  "Don’t confuse qualities that are found in the same writer only incidentally. If Plato had been strong and handsome, should I also try to become strong and handsome, as if this were essential to philosophy, since there was one particular philosopher who combined philosophy with good looks?"	Epictectus
99  "Ask me what the real good in man’s case is, and I can only say that it is the right kind of moral character."	Epictectus
100 "Doctors keep their scalpels and other instruments handy, for emergencies. Keep your philosophy ready too — ready to understand heaven and earth."	Marcus Aurelius
101 "It never ceases to amaze me: we all love ourselves more than other people, but care more about their opinion than our own."	Marcus Aurelius
102 "However much you possess there's someone else who has more, and you'll be fancying yourself to be short of things you need to the exact extent to which you lag behind him."	Seneca
103 Associate with people who are likely to improve you. Welcome those who are capable of improving. The process is a mutual one: men learn as they teach.	Seneca
104 "Let us therefore go all out to make the most of friends, since no one can tell how long we shall have the opportunity."	Seneca
105 “Dwell on the beauty of life. Watch the stars, and see yourself running with them.”	Marcus Aurelius
106 “You have power over your mind - not outside events. Realize this, and you will find strength.”	Marcus Aurelius
107 “The happiness of your life depends upon the quality of your thoughts.”	Marcus Aurelius
108 “Everything we hear is an opinion, not a fact. Everything we see is a perspective, not the truth.”	Marcus Aurelius
109 “Waste no more time arguing about what a good man should be. Be one.”	Marcus Aurelius
110 “Accept the things to which fate binds you, and love the people with whom fate brings you together, but do so with all your heart.”	Marcus Aurelius
111 “When you arise in the morning think of what a privilege it is to be alive, to think, to enjoy, to love ...”	Marcus Aurelius
112 “The best revenge is to be unlike him who performed the injury.”	Marcus Aurelius
113 “If you are distressed by anything external, the pain is not due to the thing itself, but to your estimate of it; and this you have the power to revoke at any moment.”	Marcus Aurelius
114 “Our life is what our thoughts make it.”	Marcus Aurelius
115 “It is not death that a man should fear, but he should fear never beginning to live.”	Marcus Aurelius
116 “If it is not right do not do it; if it is not true do not say it.”	Marcus Aurelius
117 “The soul becomes dyed with the color of its thoughts.”	Marcus Aurelius
118 “If someone is able to show me that what I think or do is not right, I will happily change, for I seek the truth, by which no one was ever truly harmed. It is the person who continues in his self-deception and ignorance who is harmed.”	Marcus Aurelius
119 “Very little is needed to make a happy life; it is all within yourself in your way of thinking.”	Marcus Aurelius
120 “The object of life is not to be on the side of the majority, but to escape finding oneself in the ranks of the insane.”	Marcus Aurelius
121 “I have often wondered how it is that every man loves himself more than all the rest of men, but yet sets less value on his own opinion of himself than on the opinion of others.”	Marcus Aurelius
122 “Never let the future disturb you. You will meet it, if you have to, with the same weapons of reason which today arm you against the present.”	Marcus Aurelius
123 “Reject your sense of injury and the injury itself disappears.”	Marcus Aurelius
124 “The best revenge is not to be like your enemy.”	Marcus Aurelius
125 “How much more grievous are the consequences of anger than the causes of it.”	Marcus Aurelius
126 “The first rule is to keep an untroubled spirit. The second is to look things in the face and know them for what they are.”	Marcus Aurelius
127 “When another blames you or hates you, or people voice similar criticisms, go to their souls, penetrate inside and see what sort of people they are. You will realize that there is no need to be racked with anxiety that they should hold any particular opinion about you.”	Marcus Aurelius
128 “Look well into thyself; there is a source of strength which will always spring up if thou wilt always look.”	Marcus Aurelius
129 “Begin each day by telling yourself: Today I shall be meeting with interference, ingratitude, insolence, disloyalty, ill-will, and selfishness – all of them due to the offenders’ ignorance of what is good or evil.”	Marcus Aurelius
130 “Whenever you are about to find fault with someone, ask yourself the following question: What fault of mine most nearly resembles the one I am about to criticize?”	Marcus Aurelius
131 “How much time he gains who does not look to see what his neighbor says or does or thinks, but only at what he does himself, to make it just and holy.”	Marcus Aurelius
132 Here is a rule to remember in future, when anything tempts you to feel bitter: not 'This is misfortune,' but 'To bear this worthily is good fortune.'	Marcus Aurelius
133 “You are a little soul carrying about a corpse.”	Epictetus
134 “Look back over the past, with its changing empires that rose and fell, and you can foresee the future too.”	Marcus Aurelius
135 “Dwell on the beauty of life. Watch the stars, and see yourself running with them.”	Marcus Aurelius
136 “You have power over your mind - not outside events. Realize this, and you will find strength.”	Marcus Aurelius
137 “The happiness of your life depends upon the quality of your thoughts.”	Marcus Aurelius
138 “Everything we hear is an opinion, not a fact. Everything we see is a perspective, not the truth.”	Marcus Aurelius
139 “Waste no more time arguing about what a good man should be. Be one.”	Marcus Aurelius
140 “Accept the things to which fate binds you, and love the people with whom fate brings you together, but do so with all your heart.”	Marcus Aurelius
141 “When you arise in the morning think of what a privilege it is to be alive, to think, to enjoy, to love ...”	Marcus Aurelius
142 “The best revenge is to be unlike him who performed the injury.”	Marcus Aurelius
143 “If you are distressed by anything external, the pain is not due to the thing itself, but to your estimate of it; and this you have the power to revoke at any moment.”	Marcus Aurelius
144 “Our life is what our thoughts make it.”	Marcus Aurelius
145 “It is not death that a man should fear, but he should fear never beginning to live.”	Marcus Aurelius
146 “If it is not right do not do it; if it is not true do not say it.”	Marcus Aurelius
147 “The soul becomes dyed with the color of its thoughts.”	Marcus Aurelius
148 “If someone is able to show me that what I think or do is not right, I will happily change, for I seek the truth, by which no one was ever truly harmed. It is the person who continues in his self-deception and ignorance who is harmed.”	Marcus Aurelius
149 “Very little is needed to make a happy life; it is all within yourself in your way of thinking.”	Marcus Aurelius
150 “The object of life is not to be on the side of the majority, but to escape finding oneself in the ranks of the insane.”	Marcus Aurelius
151 “I have often wondered how it is that every man loves himself more than all the rest of men, but yet sets less value on his own opinion of himself than on the opinion of others.”	Marcus Aurelius
152 “Never let the future disturb you. You will meet it, if you have to, with the same weapons of reason which today arm you against the present.”	Marcus Aurelius
153 “Reject your sense of injury and the injury itself disappears.”	Marcus Aurelius
154 “The best revenge is not to be like your enemy.”	Marcus Aurelius
155 “How much more grievous are the consequences of anger than the causes of it.”	Marcus Aurelius
156 “The first rule is to keep an untroubled spirit. The second is to look things in the face and know them for what they are.”	Marcus Aurelius
157 “When another blames you or hates you, or people voice similar criticisms, go to their souls, penetrate inside and see what sort of people they are. You will realize that there is no need to be racked with anxiety that they should hold any particular opinion about you.”	Marcus Aurelius
158 “Look well into thyself; there is a source of strength which will always spring up if thou wilt always look.”	Marcus Aurelius
159 “Begin each day by telling yourself: Today I shall be meeting with interference, ingratitude, insolence, disloyalty, ill-will, and selfishness – all of them due to the offenders’ ignorance of what is good or evil.”	Marcus Aurelius
160 “Whenever you are about to find fault with someone, ask yourself the following question: What fault of mine most nearly resembles the one I am about to criticize?”	Marcus Aurelius
161 “How much time he gains who does not look to see what his neighbor says or does or thinks, but only at what he does himself, to make it just and holy.”	Marcus Aurelius
162 Here is a rule to remember in future, when anything tempts you to feel bitter: not 'This is misfortune,' but 'To bear this worthily is good fortune.'	Marcus Aurelius
163 “You are a little soul carrying about a corpse.”	Epictetus
164 “Look back over the past, with its changing empires that rose and fell, and you can foresee the future too.”	Marcus Aurelius
165 Some things are within your power, and some are not.	Epictetus
166 If it concerns anything beyond your power, it is nothing to you.	Epictetus
167 Restrain desire. Where it is necessary for you to pursue something, do so with discretion and moderation.	Epictetus
168 Reject only the undesirable things which you can control.	Epictetus
169 With regard to things which delight the mind, remind yourself of what nature they are.	Epictetus
170 When you perform any action, remind yourself of what nature the action is.	Epictetus
171 You are not disturbed by things. Your views on those things disturb you. Do not attribute your distress to others, but to yourself and to your own views.	Epictetus
172 Do not feel pride in any achievement not immediately your own.	Epictetus
173 Things will not always happen as you want them to happen. Realize that they happen as they happen.	Epictetus
174 Sickness harms the body, not the will. Say this to yourself with regard to everything that happens.	Epictetus
175 Upon every misfortune, turn toward yourself and ask which of your faculties may offer a solution. If pain, then strength; if insult, then patience. Existence will not overwhelm you.	Epictetus
176 It is better to die of hunger, exempt from grief and fear, than to live in affluence with perturbation.	Epictetus
177 There is a price paid for peace and tranquility; and nothing is to be had for nothing.	Epictetus
178 Be content to show foolishness and dullness on the exterior. Do not desire to be thought to know anything.	Epictetus
179 If you wish your friends to live forever, you are foolish, for you wish things to be in your power which are not so. Exercise only what is in your power.	Epictetus
180 Remember that you must behave as at a banquet. Is anything brought round to you? Put out your hand and take a moderate share. Does it pass by you? Do not stop it. Has it not yet come? Wait till it reaches you.	Epictetus
181 In conversation, do not disdain to accommodate yourself to others and, if need be, to groan with them. Take heed not to groan inwardly.	Epictetus
182 You are an actor in a drama. Act well the part.	Epictetus
183 You are unconquerable if you enter into no combat in which it is not in your own power to conquer.	Epictetus
184 When you see anyone eminent in honors or power, be careful not to be confused by appearances and to pronounce them happy.	Epictetus
185  Do not desire to be held in high regard by your peers, but to be free. The only way to this is a disregard of things which do not within our own power.	Epictetus
186 Remember that it is not the person who gives abuse or blows, who insults, but the view we take of these things as insulting. When you are provoked it is your own opinion which provokes you.	Epictetus
187 Let death and exile, and all other things which appear terrible, be daily before your eyes. You will never entertain an abject thought, nor covet anything.	Epictetus
188 If you have a desire towards something, prepare yourself from the first to have the multitude laugh and sneer. If you are persistent, those persons who at first ridiculed will afterwards admire you.	Epictetus
189 If you ever happen to turn your attention to externals, for the pleasure of anyone, you have ruined your scheme of life. Be content, then, in everything.	Epictetus
190 Is anyone preferred before you at anything? If these things are good, you ought to rejoice that they have them; and if they are evil, do not be grieved that you do not have them.	Epictetus
191 If a person had delivered up your body to some passer-by, you would be angry.	Epictetus
192 Do you feel no shame in delivering up your own mind to any reviler, to be confounded.	Epictetus
193 In every affair consider what precedes and what follows, and then undertake it. Otherwise you will begin careless of the consequences, and when these are developed, you will desist.	Epictetus
194 You will be everything, but nothing in earnest. You mimic all you see, and one thing after another is sure to please you, but is out of favor as soon as it becomes familiar. You have never entered upon anything considerately, but carelessly, and with a halfway zeal. Consider first what the matter is, and what your own nature is able to bear. You must be one thing. You must cultivate your own reason and apply yourself to things within you.	Epictetus
195 Begin by prescribing to yourself some character and demeanor, one you may preserve both alone and in company.	Epictetus
196 Be silent, or speak what is needful, and in few words. You may enter into discourse sometimes, when occasion calls for it. Let it not run into any of the common subjects, and especially not on other people, so as either to blame, or praise, or make comparisons.	Epictetus
197 Let not your laughter be loud, frequent, or abundant.	Epictetus
198 Avoid taking oaths as far as you are able.	Epictetus
199 Avoid public and vulgar entertainment. If ever an occasion calls you to them, keep your attention upon your mind, that you may not slide into vulgarity.	Epictetus
200 Provide things relating to the body no further than absolute need requires. Cut off those things which lean toward show and luxury.	Epictetus
201 Be not uncharitable or severe to those who seem evil, nor boast that you yourself live otherwise.	Epictetus
202 If anyone tells you that a certain person speaks ill of you, do not make excuses about what is said of you. Answer: “They were ignorant of my other faults, else they would not have mentioned these alone..	Epictetus
203 It is not necessary for you to appear often at public spectacles. If ever there is a proper occasion for you to be there, wish things to be only just as they are, for thus nothing will go against you. Abstain from derision and violent emotions. And when you come away, do not discourse a great deal on what has passed.	Epictetus
204 Be not prompt or ready to attend private functions. If you must attend, preserve your dignity, and yet avoid making yourself disagreeable.	Epictetus
205 When you are going before anyone in power, the doors may not be opened to you, and they may not notice you. If, with all this, it be your duty to go, bear what happens.	Epictetus
206 In company, avoid a frequent and excessive mention of your own actions and dangers. Avoid attempts to excite laughter, for this may slide you into vulgarity and may lower you in the esteem of your acquaintances. Approaches to indecent discourse are likewise dangerous.	Epictetus
207 If you are enticed by promised pleasure, let the affair wait your leisure. Bring to your mind both points of time—that in which you shall enjoy the pleasure, and that after you have enjoyed it.	Epictetus
208 When you do anything from a clear judgment that it ought to be done, do it, even though the world should misunderstand it. If you are not acting rightly, shun the action itself. If you are, why fear those who wrongly censure you.	Epictetus
209 At a feast, to choose the largest share is suitable to the bodily appetite, but inconsistent with the social spirit. When you eat with another, value the bodies of those things which are set before you, and your courtesy toward your host.	Epictetus
210 If you have assumed any character beyond your strength, you have lost one which you might have supported.	Epictetus
211 Take care not to hurt the ruling faculty of your mind. If you were to guard against this in every action, you should enter upon those actions more safely.	Epictetus
212 It is a mark of ignorance to spend much time in things relating to the body, as to be immoderate in exercises, and in eating and drinking. These things should be done with discretion and your main strength be applied to your reason.	Epictetus
213 When any person does ill by you, or speaks ill of you, remember that they act or speak from an impression that it is right for them to do so. If they judge from false appearances, they are the person hurt and the person deceived. You will bear with a person who reviles you, for you will say upon every occasion, “It seemed so to them..	Epictetus
214  These reasonings have no logical connection: “I am richer than you, therefore I am your superior.” “I am more eloquent than you, therefore I am your superior.” The true logical connection is this: “I am richer than you, therefore my possessions must exceed yours.” “I am more eloquent than you, therefore my style must surpass yours.” But you, after all, consist neither in property nor in style.	Epictetus
215 Does anyone bathe hastily? Do not say that they do it ill, but hastily. Does anyone drink much wine? Do not say that they do ill, but that they drink a great deal. For unless you perfectly understand their motives, how should you know if they act ill? Thus you will not risk yielding to any appearances except those you fully comprehend.	Epictetus
216 Do not discourse how people ought to eat, but eat as you ought. Do not make an exhibition before the ignorant of your principles.	Epictetus
217 When you have learned to nourish your body frugally, do not build yourself upon it. If you drink water, refrain from saying upon every occasion, “I drink water..	Epictetus
218 Consider how much more frugal are the poor are, and how much more patient of hardship.	Epictetus
219 The vulgar look outwards for all help or harm.	Epictetus
220 The philosopher looks inwards for all help or harm.	Epictetus
221 Those proficient praise no one, blame no one, and accuse no one. They say nothing concerning their self as being anybody or knowing anything.	Epictetus
222 When you are hindered, accuse yourself. If you are praised, smile to yourself at the person who praises you.	Epictetus
223 Whatever rules you have adopted, abide by them as laws.	Epictetus
224 Do not regard what anyone says of you, for this is no concern of yours.	Epictetus
225 How long will you delay to demand of yourself improvements? You have received the principles with which you ought to be conversant; and you have been conversant with them. If you will be negligent and slothful, you will accomplish nothing and, living and dying, remain of vulgar mind.	Epictetus
226 This instant, then, think yourself worthy of living as a realized human being. Let whatever appears to be the best be to you an inviolable law.	Epictetus
227 If any instance of pain or pleasure be set before you, remember that now is the combat, and that by one failure or success, honor may be lost or won. And though you are not yet proficient, you ought to live as one seeking to be proficient.	Epictetus
